Cod. T.Cultivo,Dosis Madurante,TCHM,TAHM,Sac.Caña Precosecha,%Sac.Caña,%Sac.Muestreadora,%ATR,%AR Jugo,Lluvias (2 Meses Ant.)
1.0,0.0,10.995524,1.110539,16.0663,11.7214,12.5019,12.9409,0.5382,0.0
1.0,0.0,10.287341,1.036327,17.5705,11.607,12.079,12.706,0.42,0.0
1.0,0.0,10.942782,1.093951,16.5953,11.5993,12.1321,12.9494,0.6888,270.0
1.0,0.0,10.131914,0.992932,17.7872,11.2,13.0494,12.5,0.7,104.0
1.0,1.1,11.246695,1.066538,16.4292,11.0985,11.3136,12.3791,0.6279,214.0
1.0,0.0,11.781844,1.11927,14.4254,11.08,13.0494,12.44,0.7,155.0
1.0,0.0,6.891479,0.611099,14.8022,10.505,11.062,11.777,0.62,643.0
1.0,1.0,9.461413,0.827792,15.5783,10.431,11.112,11.782,0.7,643.0
1.0,0.0,13.432598,1.134803,16.7952,10.0533,10.423,11.3185,0.61,271.0
1.0,0.0,13.511005,1.132227,12.4268,9.97,13.0494,11.58,0.7,104.0
1.0,0.0,15.860205,1.219671,17.3031,9.308,10.071,10.787,0.9,148.0
1.0,0.0,15.278895,1.170358,15.4196,9.182,9.88,10.5,0.75,0.0
1.0,0.0,11.48798,1.254103,18.1753,12.533,13.2144,13.7162,0.4565,0.0
1.0,1.0,11.788097,1.257536,14.9627,12.3241,13.15,13.6191,0.635,552.0
1.0,1.0,9.744065,1.027126,17.0303,12.1254,12.3551,13.2636,0.4203,229.0
1.0,0.0,10.731087,1.122695,17.3162,12.089,13.093,13.495,0.71,0.0
1.0,0.0,11.080336,1.064223,17.2185,11.1549,11.9544,12.3313,0.5108,0.0
1.0,0.0,11.771937,1.084515,16.7921,10.8027,11.4702,12.0243,0.5642,266.0
1.0,0.0,12.097822,1.107776,16.7915,10.7444,11.254,12.1285,0.74,0.0
1.0,0.0,6.070825,0.540123,16.1027,10.545,11.704,11.9604,0.78,237.0
1.0,0.0,9.200366,0.784747,7.802876075066487,10.089,10.654,11.327,0.605,0.0
1.0,0.0,9.207102,0.761791,16.1199,9.846,10.558,11.095,0.62,0.0
1.0,1.2,12.55549,1.452857,18.5811,13.2579,14.3652,14.4004,0.3636,241.0
1.0,1.0,11.022603,1.183544,17.6493,12.367,13.036,13.696,0.63,228.0
1.0,0.0,12.778108,1.347431,17.913,12.1005,11.886,13.3314,0.5385,263.0
1.0,1.0,11.181756,1.142871,16.6815,11.8089,12.299,13.0369,0.5395,0.0
1.0,0.0,11.35092,1.162411,18.815,11.778,11.756,13.018,0.575,0.0
1.0,0.0,10.686833,1.076784,7.802876075066487,11.6862,12.3119,12.93,0.5514,0.0
1.0,0.0,12.471887,1.241465,17.0788,11.6276,12.2877,12.9177,0.6109,239.0
1.0,1.2,12.367196,1.230192,16.0733,11.55,12.113,12.906,0.695,178.0
1.0,0.0,9.887536,0.974926,17.0938,11.4862,11.9541,12.7107,0.5471,250.0
1.0,1.0,9.795252,0.962063,16.1076,11.2956,11.198,12.4063,0.47,228.0
1.0,0.0,12.304349,1.189129,19.2132,11.2296,11.3698,12.3776,0.4696,0.0
1.0,1.2,10.820044,0.971199,16.1684,10.6327,10.9728,12.1982,0.9206,241.0
1.0,0.0,5.224818,0.446951,17.4711,10.014,10.053,10.936,0.29,0.0
1.0,0.0,8.999446,0.920521,18.2035,11.834,11.733,13.033,0.55,0.0
1.0,0.0,8.691573,0.880102,16.7505,11.7302,11.703,12.9034,0.49,0.0
1.0,0.0,9.309935,0.874561,16.2827,10.9733,11.166,12.2113,0.585,0.0
1.0,1.0,13.048378,1.213421,17.06,10.952,11.192,12.28,0.725,298.0
1.0,0.0,14.996499,1.293335,14.0054,10.1385,10.6441,11.4326,0.6852,0.0
1.0,0.0,11.80712,0.984865,16.1263,9.93,10.032,11.209,0.72,192.0
1.0,0.0,10.502413,0.809944,18.073,9.395,9.036,10.692,0.73,149.0
1.0,1.1,11.893366,1.270175,16.8456,12.2809,12.568,13.4259,0.4338,273.0
1.0,0.0,8.281376,0.868691,16.6531,12.1406,12.6852,13.3816,0.5519,125.0
1.0,0.0,10.433331,1.042778,16.7895,11.611,11.4341,12.977,0.7527,0.0
1.0,0.8,12.798333,1.220902,17.7089,11.123,11.4764,12.3467,0.6032,0.0
1.0,0.0,10.788129,1.004414,16.71,10.7856,11.6877,11.8888,0.5051,192.0
1.0,1.0,12.790956,1.157861,17.732,10.659,11.938,11.857,0.58,117.0
1.0,0.8,7.598321,0.685803,16.8744,10.601,11.663,11.8412,0.65,0.0
1.0,0.0,13.624945,1.149433,16.6619,9.934,11.074,11.033,0.52,250.0
1.0,0.0,14.603745,1.190913,14.5833,9.778,11.016,11.207,0.88,192.0
1.0,0.0,12.316569,0.891851,16.7293,8.8311,9.702,10.307,1.01,371.0
1.0,1.2,10.145955,1.148275,17.5354,12.9162,13.3471,14.0936,0.4626,216.0
1.0,0.0,11.228808,1.109524,7.802876075066487,11.4231,11.9756,12.6069,0.5755,0.0
1.0,0.0,10.97625,1.02347,18.559,10.8172,11.3055,12.0128,0.6242,111.0
1.0,0.0,8.286532,0.992844,16.6298,13.5354,13.98,14.7694,0.551,342.0
1.0,0.0,6.516786,0.748351,16.9062,13.059,13.754,14.345,0.49,0.0
1.0,0.0,9.062687,1.031023,16.0051,12.9854,13.97,14.2337,0.57,0.0
1.0,0.0,8.372548,0.947783,15.5882,12.883,13.5036,13.9912,0.3241,354.0
