Dist Km,Cod. T.Cultivo,Dosis Madurante,TCHM,TAHM,%Sac.Muestreadora,%ATR,%AR Jugo,%ME Veg,%ME Tot,Lluvias (2 Meses Ant.),Lluvias tres a seis,Lluvias seis a nueve
19.4,1.0,1.0,11.904854,1.291677,12.7607,13.5684,0.6707,7.4932,7.4932,0.0,0.0,0.0
4.3,1.0,0.0,11.634039,1.269208,12.4914,13.8724,0.7168,7.697,7.8016,0.0,0.0,0.0
19.5,1.0,1.0,9.57051,1.166034,13.913,14.8211,0.43,8.404,8.404,0.0,0.0,0.0
19.5,1.0,1.0,9.347206,1.124725,13.4361,14.5763,0.3738,7.7677,7.9918,0.0,0.0,0.0
30.0,1.0,0.8,9.291073,1.151522,13.4382,14.927,0.3543,8.3917,8.9037,189.0,347.0,232.0
21.4,1.0,0.0,10.896725,1.29964,13.8169,14.4694,0.478,10.0655,11.4942,0.0,85.0,0.0
29.2,1.0,0.0,9.363217,1.201287,14.3098,15.4968,0.3922,7.7021,8.3756,0.0,296.0,28.0
14.3,1.0,1.5,10.18564,1.164323,13.1185,14.0798,0.4633,8.7066,9.4239,171.0,110.0,362.0
19.5,1.0,1.0,9.439806,1.166359,13.9688,15.0437,0.3806,8.8896,8.9885,0.0,0.0,0.0
30.0,1.0,0.8,10.467523,1.193655,12.9374,14.237,0.5334,10.8384,11.0775,189.0,347.0,262.0
29.5,1.0,0.8,10.262775,1.177179,12.959,14.2407,0.5508,8.8671,9.7843,131.0,142.0,62.0
10.4,1.0,0.0,9.492273,0.965356,12.58285,13.28,0.829615549662488,8.1407,8.728247772511848,7.0,0.0,0.0
14.3,1.0,1.5,10.021924,1.061921,11.9051,13.1739,0.456,9.4263,10.7288,171.0,74.0,365.0
30.0,1.0,0.8,10.700472,1.193302,12.2841,13.9038,0.5467,9.7458,11.117,203.0,347.0,272.0
29.2,1.0,0.0,10.311355,1.199026,13.0667,14.239,0.4783,9.9456,10.2732,0.0,296.0,28.0
18.1,1.0,0.0,10.952501,1.195412,12.0682,13.5477,0.6043,8.5773,9.0824,136.0,130.0,230.0
7.9,1.0,1.1,12.010987,1.386978,13.2167,14.2079,0.4275,8.9483,10.0016,0.0,242.0,142.0
29.2,1.0,0.0,8.582015,0.968004,12.393,13.8769,0.5,8.582,10.053,0.0,176.0,0.0
29.2,1.0,0.0,6.7719,0.762684,12.527,13.6972,0.387,9.1098,9.5733,0.0,230.0,6.0
17.2,1.0,0.5,9.119516,0.929778,11.7185,12.9995,0.6298,10.0359,11.1248,170.0,171.0,138.0
22.0,1.0,1.5,11.417359,1.234865,12.3513,13.4247,0.4984,9.1339,9.3347,123.0,225.0,97.0
14.5,1.0,0.0,13.303571,1.29983,10.9757,12.3768,0.534,12.813,13.8549,19.0,184.0,167.0
19.5,1.0,1.0,10.725583,1.233686,12.9227,14.0353,0.4158,7.2151,7.8841,0.0,0.0,0.0
29.2,1.0,0.0,14.410323,1.667037,12.816,14.2705,0.445,8.818,9.985,0.0,176.0,0.0
29.2,1.0,0.0,8.724168,0.945099,12.562,13.59,0.64,10.431,10.653,0.0,176.0,0.0
1.1,2.0,0.0,13.588813,1.057002,12.58285,13.420150826067003,0.829615549662488,8.1407,8.728247772511848,232.0,335.0,252.0
29.2,1.0,0.0,13.277073,1.346181,12.125,12.782,0.425,8.677,10.969,0.0,176.0,0.0
14.5,1.0,0.0,11.655547,1.240807,12.0873,13.401,0.5388,9.1382,9.5771,62.0,139.0,243.0
6.5,1.0,0.0,11.559265,0.0,0.0,13.420150826067003,0.829615549662488,8.1407,8.728247772511848,289.0,302.0,313.0
20.5,1.0,1.0,8.87892,0.945614,12.3033,13.3423,0.5266,9.6902,10.3096,137.0,222.0,103.0
18.1,1.0,1.2,10.087582,1.106803,12.4132,13.6835,0.5638,7.4098,8.9837,162.0,103.0,247.0
18.1,1.0,1.2,10.386269,1.189796,12.592,14.0103,0.4,8.437,8.738,132.0,104.0,209.0
40.0,1.0,1.0,9.994058,1.190496,13.5835,14.4095,0.3734,7.7151,9.2855,130.0,295.0,63.0
22.0,1.0,0.0,13.434651,1.346191,11.6228,12.6436,0.53,9.6467,10.4802,97.0,69.0,157.0
22.0,1.0,0.0,10.9335,1.15845,12.093,13.3185,0.5648,8.0561,8.4957,97.0,73.0,168.0
23.0,1.0,0.0,11.370596,1.195486,12.2235,13.1917,0.546,9.0644,9.8459,0.0,0.0,0.0
13.5,1.0,0.0,12.314529,1.244617,11.8031,12.7914,0.6173,8.6937,9.9645,0.0,0.0,0.0
13.5,1.0,0.0,9.186903,0.972742,11.9542,13.3788,0.5942,8.5328,8.8731,0.0,0.0,0.0
10.4,1.0,0.0,8.154284,0.779551,12.58285,12.88,0.829615549662488,8.1407,8.728247772511848,7.0,0.0,0.0
19.1,1.0,1.2,13.438417,1.409506,11.6701,13.0085,0.4987,10.6892,12.8187,235.0,148.0,341.0
21.0,1.0,1.2,9.930643,1.161419,13.2311,14.3976,0.4681,6.8995,7.5498,241.0,245.0,248.0
27.9,1.0,0.0,13.099965,1.190788,12.58285,12.47,0.829615549662488,0.0,11.1,155.0,115.0,239.0
22.0,1.0,1.2,10.030606,1.037974,11.6881,12.8582,0.5146,9.9362,11.3692,139.0,138.0,187.0
22.0,1.0,0.0,10.623556,1.11922,12.3602,13.1068,0.5521,9.3733,11.3282,139.0,89.0,178.0
23.0,1.0,0.0,10.049961,1.103304,12.847,13.5924,0.5326,8.2986,8.3612,0.0,0.0,0.0
13.5,1.0,0.0,11.628577,1.35074,13.3806,14.3351,0.649,7.642,7.9272,0.0,0.0,0.0
9.5,1.0,1.0,9.992854,0.955956,10.9875,12.2124,0.6433,8.3299,8.8596,596.0,228.0,373.0
24.0,1.0,0.0,8.35805,0.886358,12.0004,13.3529,0.6983,10.1084,11.5625,95.0,52.0,128.0
37.0,1.0,1.3,12.387893,1.351267,12.5552,13.4587,0.4985,7.7858,8.7234,123.0,70.0,219.0
10.1,1.0,1.0,8.691664,0.981265,12.4181,13.7311,0.4569,8.6905,13.7682,294.0,336.0,177.0
45.8,1.0,0.0,11.344512,1.124767,11.7038,12.6198,0.7811,9.3496,10.7881,390.0,293.0,50.0
23.0,1.0,0.0,11.740621,1.293389,12.5414,13.5407,0.5501,7.9526,8.5071,0.0,0.0,0.0
22.1,1.0,0.0,9.782577,1.06198,12.0873,13.475,0.614,8.5043,9.1387,173.0,325.0,312.0
19.8,1.0,0.0,11.421575,1.181818,12.0047,12.984,0.6133,9.4665,9.7603,0.0,0.0,0.0
33.5,1.0,0.8,9.609806,1.093071,12.7136,13.8543,0.3925,8.183,8.6164,0.0,180.0,0.0
17.0,1.0,0.0,13.146895,1.253943,11.0506,12.2466,0.6623,7.6352,7.7154,31.0,46.0,50.0
23.0,1.0,1.5,14.326953,1.504214,12.2114,13.0613,0.4938,7.8777,8.3099,160.0,96.0,202.0
9.4,1.0,1.0,7.825846,0.914452,13.5848,14.2534,0.4942,8.5907,9.5294,171.0,128.0,238.0
45.8,1.0,0.0,11.881459,1.139913,11.3243,12.4152,0.6844,10.6766,11.6635,390.0,70.0,275.0
32.7,1.0,0.8,9.767904,1.092425,12.8039,13.7763,0.413,7.834,8.4082,169.0,166.0,156.0
