Período,Ton.Azucar,%ATR,KATRHM,M3 Riego,Radiacion Solar Ciclo,Evaporacion 0-3,Evaporacion Ciclo
202203,13.275,13.199,596.675014,0.0,436.12,406.7,3076.6
202203,47.295,13.08,1190.284882,37810.8,423.997,406.7,1558.8
202203,112.457,12.7539,1144.810977,173952.0,421.658,428.0,2167.1
202203,19.344,13.381,1189.575303,27338.4,421.478,424.0,2156.8
202203,207.188,11.5719,1286.053144,312181.8,428.652,413.0,1782.1
202203,19.104,13.4193,933.863637,6912.0,434.59,431.5,2006.6
202203,106.456,13.3205,1272.346081,29556.0,434.686,427.7,1993.4
202203,226.636,12.08,1108.599983,0.0,437.566,492.5,2771.4
202203,95.99,14.0696,678.908562,0.0,423.841,446.4,2442.1
202203,109.256,13.8312,1090.616667,0.0,435.356,416.9,1912.0
202203,188.738,12.3872,1057.047997,121590.0,420.933,423.7,1722.8
202203,11.749,12.3705,841.642953,8622.0,420.649,424.6,2018.1
202203,21.209,11.413,1080.912842,8604.0,428.759,415.9,1797.1
202203,41.877,11.6609,1513.399626,0.0,434.423,408.7,1797.8
202203,23.565,12.65,1095.530143,0.0,434.48,407.2,1712.0
202203,166.216,11.6738,1303.023855,89056.5,427.005,406.9,1600.9
202203,18.441,12.1686,1183.4607,7200.0,429.314,423.3,1906.8
202203,64.222,12.1198,451.429754,0.0,423.368,446.4,2448.0
202203,49.317,11.2139,1448.585109,0.0,434.447,411.7,1846.4
202203,269.675,12.8874,1680.463285,186790.8,425.777,403.5,1546.3
202203,36.572,13.6536,1899.6337,93621.6,427.434,409.6,1774.4
202203,75.282,11.6099,1172.243457,65586.0,419.466,418.7,1851.6
202203,46.841,13.3139,860.158761,47487.6,420.831,428.4,2211.1
202203,49.601,13.2418,868.385812,34365.0,421.044,428.2,2001.5
202203,42.575,13.796,1352.238138,34048.8,434.825,416.9,1922.3
202203,80.659,12.355,1108.580725,114786.0,434.445,421.7,1940.7
202203,64.015,12.19,1296.784192,0.0,437.383,496.2,2799.4
202203,19.857,12.353,1268.435947,6264.0,433.678,436.1,2777.0
202203,225.03,12.8253,1309.128241,100851.3,426.544,403.4,1563.6
202203,132.114,12.26,1710.962508,65659.2,441.575,453.6,2007.8
202203,204.047,12.1664,1089.470201,35807.76,424.595,461.1,2548.5
202203,118.486,13.9848,1724.622134,114151.68,434.196,444.1,2243.7
202203,149.245,12.9035,1186.885931,124675.2,434.404,409.4,1870.6
202203,108.187,12.61,1890.319412,0.0,421.683,402.9,1487.6
202203,16.201,12.8184,760.894713,0.0,420.787,423.4,1801.6
202203,204.635,14.393,1461.770799,236959.2,435.088,430.2,2027.1
202203,98.362,13.7165,1573.87549,229313.1,435.393,419.3,1974.5
202203,170.051,14.7573,1441.724914,0.0,435.062,433.2,2049.8
202203,110.602,15.3223,1174.548648,0.0,422.002,431.4,2150.9
202203,283.923,14.012,1425.451577,0.0,442.041,456.2,2132.3
202203,298.156,13.895,1543.375664,0.0,441.82,453.7,2135.8
202203,136.908,14.3006,648.958493,0.0,421.589,425.6,2139.8
202203,105.725,14.0128,1812.227981,0.0,436.274,418.2,1949.8
202203,184.002,13.7621,1403.456594,0.0,445.242,431.3,2032.2
202203,63.603,12.9041,1576.085944,53611.2,427.72,403.5,1574.3
202203,0.0,13.420150826067003,1318.7037628891694,24634.08,436.174,468.6,1159.6
202203,115.472,14.7911,1842.147863,0.0,436.53,416.9,1950.7
202203,172.282,14.3736,1718.389767,0.0,442.848,456.5,2270.3
202203,66.635,14.3672,1115.231317,0.0,422.308,431.6,2176.7
202203,144.904,14.1625,1036.883402,0.0,441.648,447.0,2198.6
202203,272.206,14.5046,1542.146194,0.0,436.067,433.8,2066.0
202203,82.955,14.4866,1274.856095,0.0,436.067,433.8,2066.0
202203,176.016,13.932,1461.872038,0.0,431.09,415.3,2037.1
202203,26.211,13.9917,861.545549,0.0,425.201,411.4,3385.8
202203,196.681,14.0654,1372.920441,0.0,441.754,448.6,2199.0
202203,465.165,13.7828,1668.749191,0.0,445.548,458.0,2234.4
202203,46.177,12.65,823.054962,0.0,416.758,415.0,2319.6
202203,284.296,13.7554,1581.603724,0.0,443.361,456.7,2092.7
202203,198.21,14.8827,1315.431817,0.0,431.477,414.6,2039.5
202203,78.999,16.1426,1719.653271,0.0,436.318,441.2,2376.5
202203,13.687,13.001,1217.667645,0.0,422.528,427.3,2228.8
202203,422.168,13.9757,1471.287181,0.0,445.656,432.3,2064.5
202203,0.0,13.420150826067003,1318.7037628891694,91206.9,429.161,417.2,1469.5
202203,180.761,15.2765,1364.08934,122239.08,436.044,446.4,2224.7
202203,450.779,14.0024,1710.400453,645014.16,435.995,446.1,2270.3
202203,232.788,14.361,1548.963567,97956.0,443.135,458.5,2067.0
202203,522.399,14.473,1490.678088,288202.02,446.672,433.9,2153.3
202203,266.017,14.6313,1829.180318,0.0,437.228,419.4,2004.6
202203,81.473,14.812,1343.154558,0.0,431.419,412.3,2039.5
202203,280.524,15.1731,1680.906802,0.0,435.628,433.3,2164.7
202203,187.036,14.39,1141.686521,0.0,422.774,422.2,2162.8
202203,105.157,13.4,1192.437843,0.0,423.076,429.7,2191.7
202203,210.595,15.175,1168.896063,0.0,433.357,436.8,2402.6
202203,335.238,12.22,1709.868691,161762.4,442.598,447.0,2028.9
202203,69.505,11.55,1682.067796,23202.0,443.034,453.7,2057.1
202203,67.292,13.8952,932.054323,0.0,437.276,444.2,2473.6
202203,78.141,14.2554,909.99215,0.0,422.602,422.2,2166.4
202203,46.259,14.7689,1012.617934,0.0,420.164,438.4,2926.1
202203,84.433,11.15,1010.335432,0.0,438.681,466.6,2581.0
202203,140.356,13.7638,1516.496358,0.0,435.404,434.4,2134.4
202203,168.601,14.2143,1196.907413,0.0,436.861,409.8,1912.2
202203,149.423,13.9585,1554.679489,0.0,388.025,327.9,1425.0
202203,51.491,13.927,1293.847487,0.0,421.73,418.7,1911.3
202203,185.463,13.4043,1517.431285,0.0,429.245,411.0,1811.7
202203,200.153,14.3606,1159.039825,0.0,430.355,418.1,2234.7
202203,328.901,14.2967,1492.830936,0.0,446.208,430.1,2102.3
202203,59.696,13.18,962.163852,0.0,425.743,460.7,2619.8
202203,13.615,13.83,956.117153,0.0,425.743,460.7,2619.8
202203,524.516,14.1693,1255.030691,0.0,431.686,421.0,2168.7
202203,293.607,14.3895,1448.968399,228336.48,436.372,427.7,2069.0
202203,152.736,12.5668,1596.283398,0.0,429.914,410.2,1848.5
202203,108.927,15.2374,1478.297622,35810.4,429.039,429.3,2072.8
202203,172.607,14.412,1384.567971,0.0,450.613,500.2,2259.8
202203,51.224,12.98,1536.571497,0.0,422.653,429.2,2252.0
202203,264.934,14.7623,1250.099173,0.0,431.185,420.9,2165.3
202203,15.555,13.1946,1581.382496,93254.4,432.76,440.7,2449.7
202203,24.653,12.0,1122.888513,0.0,422.264,423.7,2235.9
202203,72.943,14.2477,958.975113,0.0,431.5,423.6,2153.1
202203,96.021,15.0416,961.444475,0.0,431.346,423.5,2166.1
202203,96.506,13.8677,1516.206448,0.0,446.554,430.2,2088.8
202203,182.666,13.2112,1434.60226,0.0,429.539,436.5,1980.7
202203,71.136,14.642,1136.260291,0.0,431.509,424.8,2166.9
202203,0.0,13.420150826067003,1318.7037628891694,15876.3,428.588,416.4,1511.2
202203,92.108,12.5658,1778.626336,0.0,450.175,491.5,2088.6
202203,70.339,12.7808,1363.588702,0.0,435.307,440.1,2228.4
202203,419.475,13.5862,1445.60113,0.0,445.721,421.7,2064.1
202203,190.88,13.4877,1493.863714,0.0,451.033,509.8,2569.7
202203,136.321,13.5148,1427.841319,0.0,449.935,494.7,2251.0
202203,62.877,13.19,1032.01665,0.0,422.121,427.3,2266.9
202203,264.278,14.44,1470.540272,189068.4,437.184,444.1,2319.1
202203,54.816,14.982,1784.362369,0.0,450.669,496.4,2169.0
202203,106.254,14.2253,1069.739202,0.0,416.164,409.2,2001.7
202203,116.143,14.636,1392.219726,0.0,451.762,512.6,2365.4
202203,178.979,13.9138,1388.737048,0.0,429.049,435.6,1977.9
202203,140.126,14.1334,1149.005522,0.0,430.272,417.6,2276.1
202203,877.738,13.5929,1557.711853,0.0,445.745,459.1,2271.5
202203,161.576,14.1028,1371.553394,0.0,450.046,496.6,2250.7
202203,89.583,13.4465,815.994841,0.0,431.402,422.8,2170.3
202203,108.512,14.1517,1096.280972,0.0,416.741,413.0,2114.5
